# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Есть ли жизнь на Марсе?;Это науке пока не известно%true|Конечно. Красные (НЛО) это с Марса. А зеленые (НЛО) с Венеры%false|Точно нет%false
Как нужно загружать ресурс из jar в Java?;ClassLoader#geResourceAsStream или ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Какой предпочтительный способ реакции на исключения?;@SneakyThrow%false|e.printStackTrace()%false|Проброс дальше с предварительным оборачиванием в бизнес-исключение (например, QuestionReadException)%true|Игнорирование исключения%false
Нужно ли писать тесты?; Нет%false|Пускай тестируют ручные тестировщики%false|Разумеется%true
Существуют ли интерфейсы без методов?;Да%true|Нет%false|Без понятия%false
Можно ли создать абстрактный метод в обычном классе?;Да%false|Нет%true
Класс, помеченный как final - класс,...;в котором нельзя менять код%false|от которого нельзя наследоваться%true|который не может имплементировать интерфейсы%false
Что лучше использовать: ArrayList или LinkedList?;ArrayList%false|LinkedList%false|Зависит от того, какие операции с объектами будут совершаться%true
Можно ли ловить ошибки?;Да, но их нельзя обработать%true|Нет%false
Могут ли в интерфейсе быть статические методы?; Нет%false|Да%false|Да, если в них написана реализация%true
